sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
橋頭,高雄市,28,,良好,0.8,0.18,16.7,20.6,19,11,5.7,6.7,1,0.3,347,"2023/06/17 19:00:00",0.1,8,21,2,120.305689,22.757506,48
仁武,高雄市,28,,良好,,0.25,15.8,20.5,25,10,9.3,10.3,1,1.3,84,"2023/06/17 19:00:00",0.2,8,18,1,120.332631,22.689056,49
鳳山,高雄市,31,,良好,1.4,0.46,9.9,12.7,21,10,11.6,13.6,2,0.4,176,"2023/06/17 19:00:00",0.4,9,20,1,120.357422,22.628126,50
大寮,高雄市,27,,良好,0.7,0.13,20.1,18.5,18,7,2.9,3.5,0.6,1.4,163,"2023/06/17 19:00:00",0.1,8,22,0,120.425311,22.56413611,51
林園,高雄市,21,,良好,0.3,0.12,21.7,20,25,11,1.1,1.5,0.4,1.2,185,"2023/06/17 19:00:00",0,5,21,0,120.41175,22.4795,52
楠梓,高雄市,32,,良好,0.9,0.23,11.8,19,20,14,11,13.1,2.1,0.6,61,"2023/06/17 19:00:00",0.2,9,19,2,120.328289,22.733667,53
左營,高雄市,31,,良好,1.2,0.2,15.9,17.7,19,10,7.2,8.4,1.1,2,208,"2023/06/17 19:00:00",0.1,9,19,3,120.292917,22.674861,54
前金,高雄市,31,,良好,0.5,0.17,15.7,18.4,12,13,6.9,8.1,1.1,1.2,199,"2023/06/17 19:00:00",0.1,9,16,1,120.28676111,22.63390278,56
前鎮,高雄市,20,,良好,1.4,0.25,14.7,17.2,20,3,9.5,13.2,3.6,0.9,191,"2023/06/17 19:00:00",0.1,6,20,2,120.30833356,22.6044507,57
小港,高雄市,37,,良好,0.8,0.2,11.7,14.7,23,14,13.1,16.9,3.7,0.6,68,"2023/06/17 19:00:00",0.1,11,19,10,120.337736,22.565833,58
屏東,屏東縣,28,,良好,0.8,0.32,10,17.1,29,12,11.5,13,1.4,1,336,"2023/06/17 19:00:00",0.1,8,23,0,120.488033,22.673081,59
潮州,屏東縣,29,,良好,0.3,0.12,19.2,19.6,25,10,1.9,1.8,0,1,196,"2023/06/17 19:00:00",0,8,16,0,120.561175,22.523108,60
恆春,屏東縣,16,,良好,0.7,0.1,7.9,17.6,12,2,2,2.8,0.8,0.7,203,"2023/06/17 19:00:00",0,4,12,0,120.788928,21.958069,61
臺東,臺東縣,18,,良好,0.4,0.31,13.4,16.1,23,8,5.9,8.7,2.8,1,178,"2023/06/17 19:00:00",0.2,5,16,0,121.15045,22.755358,62
花蓮,花蓮縣,15,,良好,0.8,0.15,17.1,15.5,13,4,3.3,4.2,0.9,0.2,91,"2023/06/17 19:00:00",0.1,4,14,0,121.599769,23.971306,63
陽明,臺北市,29,,良好,0.5,0.2,34.9,31.6,30,20,5,5,0,,,"2023/06/17 19:00:00",0.1,8,17,0,121.529583,25.182722,64
宜蘭,宜蘭縣,29,,良好,0.9,0.28,24.8,22.4,25,10,8.1,8.9,0.7,0.5,13,"2023/06/17 19:00:00",0.2,8,20,0,121.746394,24.747917,65
冬山,宜蘭縣,26,,良好,0.4,0.48,14.1,18.7,30,7,14.7,17.2,2.4,0.9,300,"2023/06/17 19:00:00",0.3,5,26,0,121.792928,24.632203,66
三重,新北市,60,二氧化氮,普通,0.5,1.7,11.4,15.3,32,15,43,93.6,50.6,-,-,"2023/06/17 19:00:00",1.4,18,31,0,121.493806,25.072611,67
中壢,桃園市,42,,良好,2.1,0.87,10.3,11.4,29,11,23.1,57.1,34,0.7,325,"2023/06/17 19:00:00",1.1,13,26,1,121.221667,24.953278,68
竹山,南投縣,23,,良好,1,0.28,9.6,20.3,23,14,10.5,11.5,1,0.4,209,"2023/06/17 19:00:00",0.1,7,16,0,120.677306,23.756389,69
永和,新北市,42,,良好,1.1,0.94,4.7,14.8,25,12,22.8,38.9,16,0.6,142,"2023/06/17 19:00:00",0.9,12,22,1,121.516306,25.017,70
復興,高雄市,16,,良好,1.1,0.19,14.3,16.2,11,3,9.6,11.1,1.5,1.2,314,"2023/06/17 19:00:00",0.1,5,15,2,120.312017,22.608711,71
埔里,南投縣,16,,良好,0.9,0.38,0.8,14.3,22,5,9.4,14.4,4.9,1.2,180,"2023/06/17 19:00:00",0.2,4,16,0,120.967903,23.968842,72
